block_focus,keystroke_intervals_mean,burstiness,scroll_rate,idle_time_percent,microEMA,sleep_hours_prev_night,action,reward
0.929375989,177.6783193,0.582422658,46,77.07806183,0.637954263,9,night,0.941949471
0.556762893,209.7044996,0.748073179,83,0.288125167,0.833643134,9,evening,0.939826965
0.571612689,253.6815875,0.811769788,81,85.89566854,0.49943177,5,afternoon,0.849958414
0.279979094,148.674235,0.656478607,17,18.6023,0.535025505,8,evening,0.956493017
0.769492933,206.6484837,0.128095746,65,55.20693647,0.144387632,6,morning,0.581961343
0.187043749,164.9939593,0.338267506,67,41.57975007,0.783987359,8,afternoon,0.866126832
0.323679236,259.7523314,0.92808364,93,71.96538166,0.419389612,9,morning,0.352392349
0.425436439,123.8406548,0.224615612,32,37.11616148,0.500080118,8,night,0.447829543
0.507610379,172.0539076,0.372167024,35,86.97631767,0.785097714,4,evening,0.890856579
0.242409732,218.8605938,0.432076883,81,73.0496361,0.5988454,6,evening,0.949340433
0.114836825,278.2762015,0.43940499,18,64.77131711,0.201098727,7,morning,0.140715396
0.610620042,196.7124869,0.612939582,27,79.62405956,0.590232659,4,morning,0.604503827
0.288630553,172.2400237,0.943075838,39,75.40230349,0.407632858,7,night,0.324331245
0.581238221,294.0578535,0.240692712,83,3.593867492,0.469525542,5,evening,0.847724418
0.154362715,127.599305,0.121501376,96,39.47343538,0.028311274,7,night,0.116547283
0.481140102,90.05970217,0.19747049,75,93.08072973,0.21002935,8,afternoon,0.399806876
0.532589433,222.0007225,0.8869249,14,12.5724269,0.281038081,7,afternoon,0.457124027
0.051823537,174.8972888,0.645810813,40,73.70965504,0.712960008,9,morning,0.250164478
0.336604278,148.9383591,0.285906789,38,97.45918113,0.011492473,4,night,0.239070737
0.134414677,235.4178224,0.815946939,1,5.219862904,0.408777261,4,afternoon,0.216723452
0.06337497,212.1900357,0.861369996,62,68.21938806,0.92402687,7,morning,0.32157054
0.989960232,171.7960685,0.846514339,28,46.81541413,0.111880617,4,night,0.726536348
0.322353845,135.9847801,0.918926534,73,57.91752554,0.516424388,9,morning,0.380575008
0.809874446,243.6228664,0.25224102,65,8.534133648,0.786522382,4,night,0.802868827
0.254640655,232.5100589,0.755041929,50,4.300695187,0.942531308,7,morning,0.461007851
0.681502722,195.0412068,0.460539497,74,66.68666606,0.74677664,6,evening,0.701084897
0.76022786,292.3318498,0.841998553,76,82.33094298,0.720565549,6,afternoon,0.748329167
0.595638741,146.4957617,0.728490677,9,78.20153349,0.82648809,5,night,0.664893545
0.471576189,123.7237415,0.776447446,13,54.38057279,0.446201221,4,morning,0.463963698
0.411840914,165.4045965,0.656161838,81,9.986682114,0.805844533,7,night,0.530042
0.348868267,197.7206992,0.177428769,50,68.80444438,0.007964405,4,evening,0.746597108
