date,starttime,endtime,session_id,block_focus,keystroke_intervals_mean,burstiness,scroll_rate,idle_time_percent,microEMA,sleep_hours_prev_night,action,reward
2025-12-19,15:21,17:37,20251219_evening_6d00c9b4,0.6484103156548905,222.80470278969065,0.5824226582072465,46.0,77.07806182638798,0.6379542626847388,9.0,evening,0.7596296051203137
2025-12-20,12:31,14:38,20251220_evening_1cfd4ea1,0.784146139856469,230.77737050249803,0.7480731794295321,83.0,0.2881251665614592,0.8336431341439584,9.0,evening,0.7642655473211754
2025-12-21,13:51,14:35,20251221_afternoon_aa7f535a,0.9255840027847475,269.0286897094577,0.7246672832971196,81.0,13.803577028300182,0.8712331500841083,5.0,afternoon,0.9068438536296912
2025-12-22,15:18,16:24,20251222_evening_faf8f64c,0.47093574935523264,159.0934724653026,0.6564786073315027,17.0,18.60230000056656,0.5350255045989328,8.0,evening,0.4719387386151424
2025-12-23,12:16,14:34,20251223_morning_93af22ae,0.8255199966673491,269.4283291727334,0.8086418706639712,65.0,10.380596050240383,0.8372426277326989,6.0,morning,0.9815438401423544
2025-12-24,13:51,15:02,20251224_afternoon_b15391d0,0.9025841250610085,253.2946992465557,0.8634195121434858,67.0,12.326670289269774,0.8056721423139961,8.0,afternoon,0.9059684585896112
2025-12-25,13:20,14:27,20251225_morning_ce6e1f1f,0.44051112588412866,151.62788053522647,0.9280836403260496,93.0,71.96538166105304,0.4193896116669716,9.0,morning,0.41735346888981706
2025-12-26,12:58,13:56,20251226_morning_a30d911e,0.28251624105772605,149.0167421686445,0.2246156118438519,32.0,37.116161478574185,0.5000801182715826,8.0,morning,0.1693651678126225
2025-12-27,16:47,18:31,20251227_evening_91ae54be,0.714893432339301,203.9638759329106,0.3721670238375133,35.0,86.97631766817108,0.7850977140957076,4.0,evening,0.684846897030886
2025-12-28,12:44,13:35,20251228_evening_e7f279d3,0.7584799912489797,220.50374793623314,0.432076882944196,81.0,73.04963609587902,0.598845400079439,6.0,evening,0.6732238904469793
2025-12-29,12:44,13:21,20251229_morning_0f5dddb8,0.8309263991442785,270.45497132708704,0.8881295565846847,18.0,9.985478683656527,0.7844532223823707,7.0,morning,0.9158244477154518
2025-12-30,12:45,13:38,20251230_morning_03405101,0.8542412658482362,237.55507780776722,0.8174234153724793,27.0,13.425529425924921,0.859998251541325,4.0,morning,0.9752140277973403
2025-12-31,16:47,19:16,20251231_afternoon_e9ea5e90,0.9417238845773019,255.23875147279918,0.8135243914108248,39.0,5.243958300917688,0.7540764864524996,7.0,afternoon,0.9395080460892151
2026-01-01,13:19,14:43,20260101_evening_5b5fcf3b,0.8136291472520073,244.79855935853047,0.8785733030705385,83.0,7.363535627465599,0.8329498779239807,5.0,evening,0.9490166720887818
2025-12-19,19:15,21:24,20251219_afternoon_3879b8b5,0.5574433590610286,180.0263735914699,0.121501376300918,96.0,39.47343538448281,0.0283112744026677,7.0,afternoon,0.49214966532570137
